Métrica,Parc das Artes,SANEPAR
Período,Fev–Mai 2026 (56 dias),Abr–Jun 2026 (49 dias)
Metros perfurados,535m,501m
Profundidade final,355m (+180m de reabertura),—
Horas paradas (equipe presente),347h,57h
Horas paradas (equipe ausente),192h (tubos — faturamento direto),—
Principal causa de parada,"Mão de obra (35%) + Equipamento (34%)",Mecânica (71%) + Chuva (25%)
Turnos,1,3 equipes completas
Sonda,Tornep,Cardwell
Projetos concomitantes,5–6 ativos simultaneamente,Menos
Dias com avanço,29 de 56 (52%),37 de 49 (80%)
Dias perdidos,"27 (distribuídos ao longo do projeto)",12 (1 evento concentrado de repasse)
Performance pura (E se?),27 dias úteis — próximo ao previsto,33 dias úteis — colado no previsto
